number,formid,form.section_1_visit_information.visit_date,form.section_1_visit_information.crop_stage,form.section_1_visit_information.crops_observed_during_this_visit,form.section_1_visit_information.select_crop_condition.crop_condition_maize,form.section_1_visit_information.select_crop_condition.crop_condition_rice,form.section_1_visit_information.select_crop_condition.crop_condition_groundnuts,form.section_2_livestock_monitoring.which_livestock_were_observed_during_this_visit,form.section_2_livestock_monitoring.select_livestock_condition.goat_condition,form.section_2_livestock_monitoring.select_livestock_condition.rabbit_condition,form.section_3_adoption_of_recommended_practices.has_the_farmer_adopted_the_recommended_farming_practices,form.section_3_adoption_of_recommended_practices.which_recommended_practices_have_been_adopted,form.section_4_farm_challenges.what_challenges_were_observed_during_the_visit,form.section_4_farm_challenges.additional_comments,form.section_4_farm_challenges.capture_farm_photograph,form.section_5_farm_location.capture_monitoring_visit_gps,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,monitoring_duration_minutes,monitoring_latitude,monitoring_longitude,registration_latitude,registration_longitude,gps_distance_meters,gps_within_expected_range
0,5d708288-28da-4a56-a8f5-d0eef8cce9e6,2026-03-28,harvesting,groundnuts,---,---,fair,goats,fair,---,yes,proper_spacing fertilizer_application improved_seed pest_management,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/5d708288-28da-4a56-a8f5-d0eef8cce9e6/1783354582076.jpg,10.3438750 7.3372167 0.0 20.0,b444a62e-13c0-4ccd-8ec2-838bb2dfe5bd,2026-03-28 12:30:00,2026-03-28 12:24:00,tester_05,2026-03-28 12:30:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/5d708288-28da-4a56-a8f5-d0eef8cce9e6/,tester_05,6.0,10.343875,7.3372167,10.3435918,7.3375823,50.90206704784912,Yes
1,24abb0d5-803f-4542-95da-8ef447c99f8c,2026-01-28,land_preparation,groundnuts,---,---,fair,goats,poor,---,no,---,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/24abb0d5-803f-4542-95da-8ef447c99f8c/1783439879797.jpg,10.3438992 7.3380248 0.0 20.0,b444a62e-13c0-4ccd-8ec2-838bb2dfe5bd,2026-01-28 09:57:00,2026-01-28 09:54:00,tester_05,2026-01-28 09:57:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/24abb0d5-803f-4542-95da-8ef447c99f8c/,tester_05,3.0,10.3438992,7.3380248,10.3435918,7.3375823,59.256394253674564,Yes
2,4edeab17-4174-497b-b509-e15f6f6bd616,2026-01-27,vegetative_growth,rice maize,good,good,---,---,---,---,yes,proper_spacing improved_livestock_housing,flooding feed_shortage,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/4edeab17-4174-497b-b509-e15f6f6bd616/1783894167903.jpg,10.5373131 7.5108633 0.0 20.0,12f1f5af-5256-4e18-96cf-f7a1dac16e7d,2026-01-27 12:58:00,2026-01-27 12:52:00,tester_04,2026-01-27 12:58:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4edeab17-4174-497b-b509-e15f6f6bd616/,tester_04,6.0,10.5373131,7.5108633,10.5371408,7.5104,54.15041532069539,Yes
3,f1faa20a-1e7c-44d6-aab5-22a1c04a6284,2026-02-15,planting,rice,---,good,---,goats,good,---,no,---,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/f1faa20a-1e7c-44d6-aab5-22a1c04a6284/1784300093161.jpg,10.3875392 7.3009171 0.0 20.0,0b061fab-6c5b-44bb-90cf-6f440d76f65d,2026-02-15 15:06:00,2026-02-15 15:00:00,tester_03,2026-02-15 15:06:24,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/f1faa20a-1e7c-44d6-aab5-22a1c04a6284/,tester_03,6.0,10.3875392,7.3009171,10.38722,7.3005656,52.323603209631344,Yes
4,1530e603-e83c-4eb5-8b89-fa32eb9b902f,2026-03-26,harvesting,rice,---,poor,---,goats,fair,---,yes,pest_management fertilizer_application,feed_shortage flooding livestock_disease,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/1530e603-e83c-4eb5-8b89-fa32eb9b902f/1783107880965.jpg,10.3873972 7.3010583 0.0 20.0,0b061fab-6c5b-44bb-90cf-6f440d76f65d,2026-03-26 12:25:00,2026-03-26 12:22:00,tester_03,2026-03-26 12:25:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1530e603-e83c-4eb5-8b89-fa32eb9b902f/,tester_03,3.0,10.3873972,7.3010583,10.38722,7.3005656,57.37718259314199,Yes
5,821e6824-515a-4975-a2b6-7d775e515f97,2026-02-05,flowering,rice,---,fair,---,goats,fair,---,yes,proper_spacing fertilizer_application timely_weeding,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/821e6824-515a-4975-a2b6-7d775e515f97/1784285934377.jpg,10.3876062 7.3007701 0.0 20.0,0b061fab-6c5b-44bb-90cf-6f440d76f65d,2026-02-05 11:50:00,2026-02-05 11:43:00,tester_03,2026-02-05 11:50:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/821e6824-515a-4975-a2b6-7d775e515f97/,tester_03,7.0,10.3876062,7.3007701,10.38722,7.3005656,48.41912152395999,Yes
6,c466c603-8e54-410f-84ac-2fd9afb919f1,2026-05-27,planting,rice,---,good,---,---,---,---,partially,improved_livestock_housing timely_weeding,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/c466c603-8e54-410f-84ac-2fd9afb919f1/1784990704108.jpg,10.2229357 7.5508067 0.0 20.0,e0bd8266-2f5c-49e1-bcce-1dc843a1c529,2026-05-27 14:25:00,2026-05-27 14:22:00,tester_05,2026-05-27 14:25:24,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c466c603-8e54-410f-84ac-2fd9afb919f1/,tester_05,3.0,10.2229357,7.5508067,10.2231701,7.5512038,50.671795136002466,Yes
7,4a536f5f-24ef-4ad9-8312-44bf2d7dc451,2026-05-22,vegetative_growth,rice groundnuts,---,good,good,---,---,---,yes,pest_management proper_spacing improved_livestock_housing timely_weeding fertilizer_application,lack_of_fertilizer crop_disease,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/4a536f5f-24ef-4ad9-8312-44bf2d7dc451/1784395807996.jpg,10.2229363 7.5513561 0.0 20.0,e0bd8266-2f5c-49e1-bcce-1dc843a1c529,2026-05-22 09:26:00,2026-05-22 09:22:00,tester_05,2026-05-22 09:26:06,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4a536f5f-24ef-4ad9-8312-44bf2d7dc451/,tester_05,4.0,10.2229363,7.5513561,10.2231701,7.5512038,30.880793521877084,Yes
8,199b3867-38c9-4d3f-8c29-71748771110f,2026-03-10,harvesting,rice,---,good,---,---,---,---,yes,fertilizer_application improved_livestock_housing pest_management,flooding crop_disease feed_shortage,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/199b3867-38c9-4d3f-8c29-71748771110f/1784145086288.jpg,10.2235667 7.5509597 0.0 20.0,e0bd8266-2f5c-49e1-bcce-1dc843a1c529,2026-03-10 14:09:00,2026-03-10 14:02:00,tester_05,2026-03-10 14:09:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/199b3867-38c9-4d3f-8c29-71748771110f/,tester_05,7.0,10.2235667,7.5509597,10.2231701,7.5512038,51.55889079814806,Yes
9,2294e1e4-a7b2-4654-b191-d86d0ed18f0d,2026-10-06,vegetative_growth,maize rice groundnuts,fair,fair,poor,---,---,---,yes,fertilizer_application improved_livestock_housing pest_management timely_weeding,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/2294e1e4-a7b2-4654-b191-d86d0ed18f0d/1784188491964.jpg,10.3941387 7.4159372 0.0 20.0,f6d3f342-1621-49ae-826b-6d3a9cfcec86,2026-10-06 14:44:00,2026-10-06 14:41:00,tester_06,2026-10-06 14:44:26,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/2294e1e4-a7b2-4654-b191-d86d0ed18f0d/,tester_06,3.0,10.3941387,7.4159372,10.3941658,7.4156936,26.81245335724507,Yes
10,6b7d57cb-ff93-4a83-b6fc-c1c22a0a4245,2026-07-23,planting,rice,---,good,---,---,---,---,yes,pest_management fertilizer_application proper_spacing improved_livestock_housing timely_weeding improved_seed,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/6b7d57cb-ff93-4a83-b6fc-c1c22a0a4245/1783165253549.jpg,10.3938124 7.4155026 0.0 20.0,f6d3f342-1621-49ae-826b-6d3a9cfcec86,2026-07-23 08:57:00,2026-07-23 08:54:00,tester_06,2026-07-23 08:57:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/6b7d57cb-ff93-4a83-b6fc-c1c22a0a4245/,tester_06,3.0,10.3938124,7.4155026,10.3941658,7.4156936,44.503691842906825,Yes
