number,formid,form.distribution_date,form.distribution_location,form.input_type,form.quantity_of_inputs_distributed.maize_seed_kg,form.quantity_of_inputs_distributed.rice_seed_kg,form.quantity_of_inputs_distributed.groundnut_seed_kg,form.quantity_of_inputs_distributed.fertilizer_kg,form.quantity_of_inputs_distributed.goats_count,form.quantity_of_inputs_distributed.rabbits_count,form.recipient_signature,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,distribution_duration_minutes
0,1fe3638f-09d9-4959-9e16-fc4fa26399a5,2026-03-23,Extension Office,groundnut_seed fertilizer,,,8.0,73.6,,,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/1fe3638f-09d9-4959-9e16-fc4fa26399a5/signature.png,b444a62e-13c0-4ccd-8ec2-838bb2dfe5bd,2026-03-23 13:27:00,2026-03-23 13:19:00,tester_05,2026-03-23 13:27:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1fe3638f-09d9-4959-9e16-fc4fa26399a5/,tester_05,8.0
1,1fc17411-f823-4850-aa61-c7eefd84027d,2026-04-06,Primary School,fertilizer,,,,90.2,,,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/1fc17411-f823-4850-aa61-c7eefd84027d/signature.png,12f1f5af-5256-4e18-96cf-f7a1dac16e7d,2026-04-06 14:28:00,2026-04-06 14:25:00,tester_04,2026-04-06 14:28:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1fc17411-f823-4850-aa61-c7eefd84027d/,tester_04,3.0
2,eb65cb9f-d00e-4b79-b8a6-dfe5cd9b53c8,2026-02-14,Primary School,rice_seed,,2.3,,,,,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/eb65cb9f-d00e-4b79-b8a6-dfe5cd9b53c8/signature.png,0b061fab-6c5b-44bb-90cf-6f440d76f65d,2026-02-14 11:33:00,2026-02-14 11:30:00,tester_03,2026-02-14 11:33:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/eb65cb9f-d00e-4b79-b8a6-dfe5cd9b53c8/,tester_03,3.0
3,44f69c19-b8ff-42ec-acb7-cd2ffbbdd6dc,2026-04-22,Primary School,groundnut_seed,,,5.2,,,,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/44f69c19-b8ff-42ec-acb7-cd2ffbbdd6dc/signature.png,e0bd8266-2f5c-49e1-bcce-1dc843a1c529,2026-04-22 14:53:00,2026-04-22 14:46:00,tester_05,2026-04-22 14:53:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/44f69c19-b8ff-42ec-acb7-cd2ffbbdd6dc/,tester_05,7.0
4,99ca4e4a-7097-451b-bc14-e85fb669b480,2026-07-02,Farmer Cooperative Centre,maize_seed groundnut_seed rice_seed,8.3,8.5,7.6,,,,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/99ca4e4a-7097-451b-bc14-e85fb669b480/signature.png,f6d3f342-1621-49ae-826b-6d3a9cfcec86,2026-07-02 14:09:00,2026-07-02 14:04:00,tester_06,2026-07-02 14:09:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/99ca4e4a-7097-451b-bc14-e85fb669b480/,tester_06,5.0
5,16281cd7-bd13-4ef5-925d-6908d55c0714,2026-04-06,Farmer Cooperative Centre,groundnut_seed maize_seed fertilizer goats,9.6,,7.6,26.3,1,,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/16281cd7-bd13-4ef5-925d-6908d55c0714/signature.png,499e45bb-5c7e-4b03-ab4e-9329bdd4ebaa,2026-04-06 10:59:00,2026-04-06 10:57:00,tester_02,2026-04-06 10:59:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/16281cd7-bd13-4ef5-925d-6908d55c0714/,tester_02,2.0
6,4266a44b-b614-4fd4-9e19-e48d0e965fc9,2026-04-22,Primary School,groundnut_seed rice_seed fertilizer,,6.1,7.1,77.4,,,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/4266a44b-b614-4fd4-9e19-e48d0e965fc9/signature.png,57ce2989-ae55-4b5e-a1ca-99ea4908e4ca,2026-04-22 10:30:00,2026-04-22 10:23:00,tester_07,2026-04-22 10:30:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4266a44b-b614-4fd4-9e19-e48d0e965fc9/,tester_07,7.0
7,912ebaf1-1343-444b-ac8f-be884c870841,2026-09-13,Village Square,rice_seed goats groundnut_seed,,6.8,3.4,,1,,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/912ebaf1-1343-444b-ac8f-be884c870841/signature.png,fa171e98-9225-46a9-96bd-76f3bd5f1d6a,2026-09-13 15:03:00,2026-09-13 15:00:00,tester_05,2026-09-13 15:03:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/912ebaf1-1343-444b-ac8f-be884c870841/,tester_05,3.0
8,a42a78ac-3df6-4359-bf3b-f72f07b1a523,2026-05-17,Extension Office,fertilizer,,,,28.3,,,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/a42a78ac-3df6-4359-bf3b-f72f07b1a523/signature.png,8c583a1e-23ce-48b3-8790-b17385953104,2026-05-17 13:25:00,2026-05-17 13:18:00,tester_07,2026-05-17 13:25:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a42a78ac-3df6-4359-bf3b-f72f07b1a523/,tester_07,7.0
9,cb61bbfb-5959-4f76-a940-e4c4bac31195,2026-08-28,Extension Office,fertilizer,,,,80.7,,,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/cb61bbfb-5959-4f76-a940-e4c4bac31195/signature.png,162b756a-c139-4998-8e1c-291d6843d9ca,2026-08-28 15:44:00,2026-08-28 15:39:00,tester_03,2026-08-28 15:44:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/cb61bbfb-5959-4f76-a940-e4c4bac31195/,tester_03,5.0
