number,formid,form.section_1_training_information.training_date,form.section_1_training_information.training_topic.choice,form.section_1_training_information.training_topic.specify_other,form.section_1_training_information.training_venue,form.section_1_training_information.trainer_name,form.section_2_attendance.did_the_farmer_attend_the_training,form.section_2_attendance.attendance_status,form.section_2_attendance.reason_for_partial_attendance,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,training_duration_minutes
0,ed2a519d-f6e3-4448-8534-06e194c2d087,2026-01-29,livestock_management,,Primary School,Trainer 3,yes,full_attendance,,b444a62e-13c0-4ccd-8ec2-838bb2dfe5bd,2026-01-29 12:14:00,2026-01-29 12:10:00,tester_05,2026-01-29 12:14:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ed2a519d-f6e3-4448-8534-06e194c2d087/,tester_05,4.0
1,823d276f-b991-4f1e-b925-924b94c7a86e,2026-04-29,pest_and_disease_management,,Community Hall,Trainer 1,yes,full_attendance,,12f1f5af-5256-4e18-96cf-f7a1dac16e7d,2026-04-29 14:00:00,2026-04-29 13:58:00,tester_04,2026-04-29 14:00:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/823d276f-b991-4f1e-b925-924b94c7a86e/,tester_04,2.0
2,4aff8f7c-9e3c-4f35-831c-88ab8317cbb9,2026-01-16,irrigation_and_water_management,,Extension Office,Trainer 3,yes,full_attendance,,0b061fab-6c5b-44bb-90cf-6f440d76f65d,2026-01-16 15:33:00,2026-01-16 15:28:00,tester_03,2026-01-16 15:33:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/4aff8f7c-9e3c-4f35-831c-88ab8317cbb9/,tester_03,5.0
3,738790b8-c3e9-4a8c-b4b9-3347c538076a,2026-04-25,irrigation_and_water_management,,Extension Office,Trainer 4,yes,full_attendance,,e0bd8266-2f5c-49e1-bcce-1dc843a1c529,2026-04-25 13:22:00,2026-04-25 13:19:00,tester_05,2026-04-25 13:22:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/738790b8-c3e9-4a8c-b4b9-3347c538076a/,tester_05,3.0
4,00550798-5b3d-4d7f-a070-ed95b931e1d3,2026-06-27,record_keeping,,Village Square,Trainer 1,yes,full_attendance,,f6d3f342-1621-49ae-826b-6d3a9cfcec86,2026-06-27 09:50:00,2026-06-27 09:46:00,tester_06,2026-06-27 09:50:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/00550798-5b3d-4d7f-a070-ed95b931e1d3/,tester_06,4.0
5,dabf74cb-f966-48cc-a3ef-8300e7ffe66f,2026-07-28,pest_and_disease_management,,Community Hall,Trainer 3,yes,full_attendance,,c7dadbe9-1811-4547-b9eb-916c498cb66c,2026-07-28 15:53:00,2026-07-28 15:51:00,tester_07,2026-07-28 15:53:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/dabf74cb-f966-48cc-a3ef-8300e7ffe66f/,tester_07,2.0
6,6fcb9f79-085b-4839-8948-847aad1cbf4d,2026-04-29,good_agronomic_practices,,Community Hall,Trainer 5,no,,,57ce2989-ae55-4b5e-a1ca-99ea4908e4ca,2026-04-29 13:26:00,2026-04-29 13:21:00,tester_07,2026-04-29 13:26:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/6fcb9f79-085b-4839-8948-847aad1cbf4d/,tester_07,5.0
7,d3cf6c17-9ab1-48be-8650-50802a4c8996,2026-06-19,other,Financial Literacy,Community Hall,Trainer 4,yes,full_attendance,,fa171e98-9225-46a9-96bd-76f3bd5f1d6a,2026-06-19 13:34:00,2026-06-19 13:31:00,tester_05,2026-06-19 13:34:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/d3cf6c17-9ab1-48be-8650-50802a4c8996/,tester_05,3.0
8,77f38fbf-9c37-4c7e-aeb8-51188fcb1762,2026-09-04,other,Post Harvest Handling,Primary School,Trainer 3,yes,full_attendance,,eb2ccea0-0dec-472e-b456-e68a3a68eb81,2026-09-04 12:28:00,2026-09-04 12:21:00,tester_07,2026-09-04 12:28:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/77f38fbf-9c37-4c7e-aeb8-51188fcb1762/,tester_07,7.0
9,12e97013-b467-4136-a2c7-ba820dd6302d,2026-05-24,soil_fertility_management,,Primary School,Trainer 1,yes,partial_attendance,personal_emergency,8c583a1e-23ce-48b3-8790-b17385953104,2026-05-24 12:59:00,2026-05-24 12:57:00,tester_07,2026-05-24 12:59:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/12e97013-b467-4136-a2c7-ba820dd6302d/,tester_07,2.0
